Potential_V,Current_uA
-0.5,-0.2644710982872124
-0.4969939879759519,-0.313734648364305
-0.4939879759519038,-0.23364361093823827
-0.4909819639278557,-0.3170398502771745
-0.4879759519038076,-0.14931565512220965
-0.4849699398797595,-0.3410094458634686
-0.4819639278557114,-0.35456621985736064
-0.4789579158316633,-0.21288953677222383
-0.4759519038076152,-0.3336747285217403
-0.47294589178356716,-0.19875902165670684
-0.46993987975951906,-0.23853594110678092
-0.46693386773547096,-0.08889252600333228
-0.46392785571142287,-0.1787617708071047
-0.46092184368737477,-0.33783440559264816
-0.45791583166332667,-0.35165167533237734
-0.45490981963927857,-0.21019291491809217
-0.45190380761523047,-0.2696317781595944
-0.44889779559118237,-0.16832839989155285
-0.44589178356713427,-0.17260129358460857
-0.44288577154308617,-0.2852759228172558
-0.43987975951903807,-0.02532019045511122
-0.43687374749499,-0.10972075723929815
-0.4338677354709419,-0.3943485644767073
-0.4308617234468938,-0.28578085145914933
-0.4278557114228457,-0.2623682327180016
-0.4248496993987976,-0.0987721685196624
-0.42184368737474953,-0.21016440994501306
-0.4188376753507014,-0.18040042524152058
-0.41583166332665333,-0.240299348463317
-0.4128256513026052,-0.15480415235676312
-0.40981963927855714,-0.14928582409942753
-0.40681362725450904,-0.08191415784817553
-0.40380761523046094,-0.08162368058054517
-0.40080160320641284,-0.32206272183103457
-0.39779559118236474,0.0581223182917813
-0.39478957915831664,-0.18358781786534697
-0.39178356713426854,-0.1459109215603957
-0.38877755511022044,-0.2051699555699123
-0.38577154308617234,-0.25746300171722736
-0.38276553106212424,-0.3116734662028506
-0.37975951903807614,-0.22659826685415926
-0.37675350701402804,-0.20603040578479723
-0.37374749498997994,-0.36668817475340554
-0.3707414829659319,-0.17266554638187162
-0.36773547094188375,-0.055994573471595144
-0.3647294589178357,-0.046147204066302794
-0.36172344689378755,-0.11957324264599621
-0.3587174348697395,-0.12417193556192768
-0.35571142284569135,-0.09782313503075428
-0.3527054108216433,-0.19927946087648635
-0.34969939879759515,-0.345159852100175
-0.3466933867735471,-0.20880596785142086
-0.343687374749499,-0.26296030317230096
-0.3406813627254509,-0.17884516924876234
-0.3376753507014028,-0.09021672176059922
-0.3346693386773547,-0.19277769800906047
-0.3316633266533066,-0.22643068625336493
-0.3286573146292585,-0.12771372698827796
-0.3256513026052104,-0.19625961469786035
-0.3226452905811623,-0.07196291392685678
-0.31963927855711427,-0.04707655793672885
-0.3166332665330661,-0.0850242295225682
-0.31362725450901807,-0.16434763070978878
-0.3106212424849699,-0.2523159039892995
-0.3076152304609219,-0.1984531709970226
-0.3046092184368737,-0.31287731807211205
-0.3016032064128257,-0.231003235488484
-0.2985971943887775,-0.06694551086193273
-0.2955911823647295,-0.2442792674861033
-0.2925851703406814,-0.2074659422314519
-0.2895791583166333,-0.14015282232304518
-0.2865731462925852,-0.09197108963727088
-0.2835671342685371,-0.2537046963647135
-0.280561122244489,-0.07047009174888497
-0.2775551102204409,-0.16208660762136112
-0.2745490981963928,-0.35422066257977536
-0.2715430861723447,-0.03910899103926832
-0.2685370741482966,-0.31224188759854377
-0.2655310621242485,-0.023212953567245093
-0.26252505010020044,-0.21705174360922008
-0.2595190380761523,-0.05456430420742234
-0.25651302605210424,0.10760350856017115
-0.2535070140280561,-0.1165670603803341
-0.25050100200400804,-0.15173849072424353
-0.24749498997995995,-0.10906044696309922
-0.24448897795591185,-0.1063830243943699
-0.24148296593186375,-0.22478027265863115
-0.23847695390781565,-0.31133209718029353
-0.23547094188376755,-0.0882505641042938
-0.23246492985971945,-0.06290033547310181
-0.22945891783567135,-0.20269068739306037
-0.22645290581162325,-0.13384724901310174
-0.22344689378757515,-0.09824716059141726
-0.22044088176352705,-0.25312479997457016
-0.21743486973947895,-0.022189335626817852
-0.21442885771543085,-0.21700429208411715
-0.21142284569138275,-0.07473907569895014
-0.20841683366733466,-0.18960041911326767
-0.20541082164328656,0.00271019375156753
-0.20240480961923846,-0.00030516870688479525
-0.19939879759519036,-0.3197780105784973
-0.19639278557114231,-0.2574005333801989
-0.19338677354709422,0.026144472779946942
-0.19038076152304612,-0.2008633891834165
-0.18737474949899802,-0.043914160239852146
-0.18436873747494992,-0.23398504367410494
-0.18136272545090182,-0.06261367508094962
-0.17835671342685372,-0.19449029441086066
-0.17535070140280562,-0.15107330455099519
-0.17234468937875752,-0.36955682033681936
-0.16933867735470942,-0.1742787819540047
-0.16633266533066132,-0.19756906236889235
-0.16332665330661322,-0.04420796300703492
-0.16032064128256512,-0.05233456781199075
-0.15731462925851702,-0.24721360389467395
-0.15430861723446893,-0.02069021476816746
-0.15130260521042083,-0.07980882122100774
-0.14829659318637273,-0.16448371586432478
-0.14529058116232463,-0.2823621028979882
-0.14228456913827658,-0.2484083315743301
-0.13927855711422849,-0.25550261616916176
-0.13627254509018039,-0.2451492449189988
-0.1332665330661323,-0.3556264202177065
-0.1302605210420842,-0.26612051259540526
-0.1272545090180361,-0.3804659353602355
-0.12424849699398799,-0.31822871980542256
-0.12124248496993989,-0.3157516587966974
-0.11823647294589179,-0.45850709544944124
-0.11523046092184369,-0.3946788375569432
-0.11222444889779559,-0.42884856803514626
-0.1092184368737475,-0.4996888552755728
-0.1062124248496994,-0.38171989293920927
-0.1032064128256513,-0.2995862820031943
-0.1002004008016032,-0.4884884979695026
-0.0971943887775551,-0.4948846619063216
-0.094188376753507,-0.42592078249365994
-0.0911823647294589,-0.49214590156672144
-0.0881763527054108,-0.2880480308853534
-0.08517034068136276,-0.4701503663288096
-0.08216432865731466,-0.4194202508885488
-0.07915831663326656,-0.5422501981827933
-0.07615230460921846,-0.5088125685992522
-0.07314629258517036,-0.5232265045658226
-0.07014028056112226,-0.5163681717749442
-0.06713426853707416,-0.5144328814361386
-0.06412825651302606,-0.49212496094636315
-0.06112224448897796,-0.5506156749310951
-0.05811623246492986,-0.4892902231471217
-0.05511022044088176,-0.6199569111922041
-0.052104208416833664,-0.6376510844947965
-0.049098196392785565,-0.8349669241362287
-0.046092184368737465,-0.6990831025992886
-0.043086172344689366,-0.8780729428956863
-0.04008016032064127,-0.84128466010158
-0.03707414829659317,-0.8028068173231053
-0.03406813627254507,-1.107128608916222
-0.031062124248497025,-1.021010252478344
-0.028056112224448926,-0.9498695325060272
-0.025050100200400827,-1.016258187014002
-0.022044088176352727,-1.1352366662501505
-0.019038076152304628,-1.122819520590503
-0.01603206412825653,-1.0972550866860193
-0.01302605210420843,-1.071357624974881
-0.01002004008016033,-1.104422714245338
-0.0070140280561122315,-1.1030544104226034
-0.004008016032064132,-1.3094937269359412
-0.001002004008016033,-1.330253088064108
0.002004008016032066,-1.1713021541731206
0.00501002004008011,-1.4555722017753736
0.008016032064128265,-1.3765270671991825
0.011022044088176308,-1.450870909985231
0.014028056112224463,-1.375019881535828
0.017034068136272507,-1.4319706839429294
0.02004008016032066,-1.6013667914462306
0.023046092184368705,-1.4087503763279963
0.02605210420841686,-1.5671831003787653
0.029058116232464903,-1.607451330877764
0.03206412825651306,-1.7336335195636374
0.0350701402805611,-1.5963647576876543
0.038076152304609256,-1.8067517736426881
0.0410821643286573,-1.7444278996201292
0.044088176352705455,-2.014365655283925
0.0470941883767535,-1.8981078283882602
0.05010020040080154,-2.021036158056011
0.0531062124248497,-2.0940967540287727
0.05611222444889774,-2.135992228254815
0.059118236472945895,-1.9821883230482162
0.06212424849699394,-2.2431387342925895
0.0651302605210421,-2.2331873768868533
0.06813627254509014,-2.484068855253165
0.07114228456913829,-2.1923788765771564
0.07414829659318634,-2.368308535378449
0.07715430861723449,-2.588699226453041
0.08016032064128253,-2.3887701076131136
0.08316633266533069,-2.6044906839180544
0.08617234468937873,-2.43140242685321
0.08917835671342689,-2.8200514602897653
0.09218436873747493,-2.503576425125576
0.09519038076152309,-2.8295627196703883
0.09819639278557113,-2.693110822750832
0.10120240480961928,-2.697049665456142
0.10420841683366733,-2.9486098231310294
0.10721442885771537,-2.8883097987311976
0.11022044088176353,-3.150788529019557
0.11322645290581157,-2.9374473199547477
0.11623246492985972,-2.9979003614330058
0.11923847695390777,-3.129037655275429
0.12224448897795592,-3.1276041193247095
0.12525050100200397,-3.160134549461158
0.12825651302605212,-3.440176695994388
0.13126252505010017,-3.398756467632567
0.13426853707414832,-3.321707772899331
0.13727454909819636,-3.2658774963911665
0.14028056112224452,-3.3698110845446947
0.14328657314629256,-3.3171966287610455
0.14629258517034072,-3.3278790171195722
0.14929859719438876,-3.2813969269940872
0.15230460921843691,-3.513587836982425
0.15531062124248496,-3.5849549818427935
0.1583166332665331,-3.4430946777826077
0.16132264529058116,-3.3560232350761625
0.1643286573146292,-3.5799290317255603
0.16733466933867736,-3.4575561311269065
0.1703406813627254,-3.5730983490320685
0.17334669338677355,-3.728578698762157
0.1763527054108216,-3.6708530188085993
0.17935871743486975,-3.7324614746469895
0.1823647294589178,-3.619783711028777
0.18537074148296595,-3.622105443580026
0.188376753507014,-3.583352999712241
0.19138276553106215,-3.84767827381178
0.1943887775551102,-3.562753206818309
0.19739478957915835,-3.462067246250726
0.2004008016032064,-3.71756165580624
0.20340681362725455,-3.599424503772131
0.2064128256513026,-3.4801744743040945
0.20941883767535074,-3.5411282366016152
0.2124248496993988,-3.7077424330184976
0.21543086172344683,-3.4709287894490073
0.218436873747495,-3.5418970268513763
0.22144288577154303,-3.480076800398002
0.22444889779559118,-3.29238482681894
0.22745490981963923,-3.5182802751424567
0.23046092184368738,-3.409908217273534
0.23346693386773543,-3.333927706525607
0.23647294589178358,-3.2263079452973344
0.23947895791583163,-3.1547498409147416
0.24248496993987978,-3.1843516551247864
0.24549098196392782,-3.2002946561633205
0.24849699398797598,-3.002396430476561
0.251503006012024,-3.101653411598926
0.2545090180360722,-3.0703266112581566
0.2575150300601202,-2.8072649920944017
0.2605210420841684,-2.670054536718137
0.2635270541082164,-2.555498773891009
0.2665330661322646,-2.523796601829054
0.2695390781563126,-2.4307809299402243
0.27254509018036066,-2.57721259496777
0.2755511022044088,-2.283176823565104
0.27855711422845686,-2.279422230971365
0.281563126252505,-2.205989837513805
0.28456913827655306,-2.277408114414461
0.2875751503006012,-2.0734625517962955
0.29058116232464926,-2.1724637968876523
0.2935871743486974,-1.7761744167141138
0.29659318637274545,-1.8848555357552494
0.2995991983967936,-1.5575214648095994
0.30260521042084165,-1.6761023582214065
0.3056112224448898,-1.6830495651759163
0.30861723446893785,-1.162266656233407
0.311623246492986,-1.3141656123969234
0.31462925851703405,-0.9405711496006142
0.3176352705410822,-1.0282902917595347
0.32064128256513025,-0.9579635002944088
0.3236472945891784,-0.7223591631083843
0.32665330661322645,-0.6625634451697386
0.3296593186372745,-0.525145524644782
0.33266533066132264,-0.4522625621624834
0.3356713426853707,-0.36342291300544854
0.33867735470941884,-0.2494923028647447
0.3416833667334669,-0.14502855147191676
0.34468937875751504,0.07069546411407468
0.3476953907815631,0.14892799114380717
0.35070140280561124,0.26513651305306174
0.3537074148296593,0.27712504916061187
0.35671342685370744,0.4942402319860342
0.3597194388777555,0.6417924955865999
0.36272545090180364,0.7303704871368146
0.3657314629258517,0.7114429668188834
0.36873747494989983,0.8851957269873044
0.3717434869739479,0.900743612070678
0.37474949899799603,1.102529880024626
0.3777555110220441,1.2912995031371755
0.3807615230460921,1.2419587797511047
0.3837675350701403,1.4201259224228284
0.3867735470941883,1.5293478385717885
0.3897795591182365,1.6240190902779357
0.3927855711422845,1.794969135245437
0.39579158316633267,1.829373403563681
0.3987975951903807,2.005772927837082
0.40180360721442887,2.206883099042099
0.4048096192384769,2.1276535594817885
0.40781563126252507,2.2049100549344414
0.4108216432865731,2.388609635263727
0.41382765531062127,2.5702498389107005
0.4168336673346693,2.62374340782188
0.41983967935871747,2.602960925475638
0.4228456913827655,2.5678476954256153
0.42585170340681366,2.8617751341323983
0.4288577154308617,2.891364351024033
0.43186372745490986,2.8933424088455575
0.4348697394789579,3.174650479505486
0.43787575150300595,3.1535470972965065
0.4408817635270541,3.16299889235093
0.44388777555110215,3.475168692261368
0.4468937875751503,3.3748266060162018
0.44989979959919835,3.352054091026656
0.4529058116232465,3.462237936611283
0.45591182364729455,3.578138268369563
0.4589178356713427,3.6498046075599135
0.46192384769539074,3.5858115486068676
0.4649298597194389,3.747317987072136
0.46793587174348694,3.7540809562912387
0.4709418837675351,3.620342033654508
0.47394789579158314,3.7936122887587205
0.4769539078156313,3.7873783296024857
0.47995991983967934,3.746207517260983
0.4829659318637275,3.9241676411775153
0.48597194388777554,3.8486058999580592
0.4889779559118237,4.038187698627821
0.49198396793587174,3.8877360204722127
0.4949899799599198,3.9033116905762433
0.49799599198396793,3.8523244521353077
0.5010020040080161,3.9836345328232365
0.5040080160320641,4.020735578742628
0.5070140280561122,4.060539263983244
0.5100200400801602,3.905612765660518
0.5130260521042085,4.053705519081075
0.5160320641282565,4.082834803632544
0.5190380761523046,4.026486861272187
0.5220440881763526,4.098870007289699
0.5250501002004009,3.9675334327571563
0.5280561122244489,3.857066915384169
0.531062124248497,3.9248232036015245
0.534068136272545,3.909055296546899
0.5370741482965933,4.082229596359732
0.5400801603206413,3.6614179913098877
0.5430861723446894,3.7619255192139622
0.5460921843687374,3.6959113829757575
0.5490981963927855,3.841960380325413
0.5521042084168337,3.766616950023806
0.5551102204408818,3.8525931156270827
0.5581162324649298,3.6154395423296024
0.5611222444889779,3.6925507999123575
0.5641282565130261,3.554208580495711
0.5671342685370742,3.558588723110702
0.5701402805611222,3.5870490360309315
0.5731462925851702,3.345282252322759
0.5761523046092185,3.644211624319207
0.5791583166332666,3.561435555977626
0.5821643286573146,3.459469074303365
0.5851703406813626,3.229907297115689
